# package|category|required_group|resolution|resolved_name|source|version|architecture|runtime_gate|functional_difference
aether|omarchy-specific|optional|source-build|aether|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and passes runtime checks
alsa-utils|system-package|phase1-owned|archlinuxarm|alsa-utils|extra|snapshot|snapshot|phase1-hardware|None
asdcontrol|system-package|omit|omit|asdcontrol|omarchy-pkgs|not-installed|x86_64|not-applicable|Apple Studio Display controls are not relevant to the internal uConsole panel
avahi|system-package|conditional|archlinuxarm|avahi|extra|snapshot|snapshot|phase5-optional|None
bash-completion|shell-tooling|core|archlinuxarm|bash-completion|extra|snapshot|snapshot|phase5-core|None
bat|shell-tooling|core|archlinuxarm|bat|extra|snapshot|snapshot|phase5-core|None
bluez|system-package|phase1-owned|archlinuxarm|bluez|extra|snapshot|snapshot|phase1-hardware|None
bluez-tools|system-package|phase1-owned|archlinuxarm|bluez-tools|extra|snapshot|snapshot|phase1-hardware|None
bluez-utils|system-package|phase1-owned|archlinuxarm|bluez-utils|extra|snapshot|snapshot|phase1-hardware|None
bolt|system-package|omit|archlinuxarm|bolt|extra|snapshot|snapshot|not-applicable|Available but omitted because the uConsole has no Thunderbolt controller
brightnessctl|desktop-core|core|archlinuxarm|brightnessctl|extra|snapshot|snapshot|phase2-hyprland|None
btop|shell-tooling|core|archlinuxarm|btop|extra|snapshot|snapshot|phase5-core|None
chromium|optional-application|optional|archlinuxarm|chromium|extra|snapshot|snapshot|phase5-optional|None
clang|development-tool|development|archlinuxarm|clang|extra|snapshot|snapshot|phase5-optional|None
cliamp|omarchy-specific|optional|source-build|cliamp|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and passes audio integration checks
cups|system-package|conditional|archlinuxarm|cups|extra|snapshot|snapshot|phase5-optional|None
cups-browsed|system-package|conditional|archlinuxarm|cups-browsed|extra|snapshot|snapshot|phase5-optional|None
cups-filters|system-package|conditional|archlinuxarm|cups-filters|extra|snapshot|snapshot|phase5-optional|None
cups-pdf|system-package|conditional|archlinuxarm|cups-pdf|extra|snapshot|snapshot|phase5-optional|None
ddcutil|system-package|omit|archlinuxarm|ddcutil|extra|snapshot|snapshot|not-applicable|Available but omitted from internal-panel bring-up because DDC does not control the DSI panel
docker|development-tool|development|archlinuxarm|docker|extra|snapshot|snapshot|phase5-optional|None
docker-buildx|development-tool|development|archlinuxarm|docker-buildx|extra|snapshot|snapshot|phase5-optional|None
docker-compose|development-tool|development|archlinuxarm|docker-compose|extra|snapshot|snapshot|phase5-optional|None
dosfstools|system-package|phase1-owned|archlinuxarm|dosfstools|core|snapshot|snapshot|phase1-hardware|None
dotnet-runtime|optional-application|deferred|defer|dotnet-runtime|upstream|unresolved|unknown|phase5-optional|Consumer and required .NET major version must be identified before selecting an ARM runtime
dua-cli|shell-tooling|core|archlinuxarm|dua-cli|extra|snapshot|snapshot|phase5-core|None
evince|optional-application|optional|archlinuxarm|evince|extra|snapshot|snapshot|phase5-optional|None
exfatprogs|system-package|conditional|archlinuxarm|exfatprogs|extra|snapshot|snapshot|phase5-optional|None
expac|update-infrastructure|core|archlinuxarm|expac|extra|snapshot|snapshot|phase6-update|None
eza|shell-tooling|core|archlinuxarm|eza|extra|snapshot|snapshot|phase5-core|None
fakeroot|update-infrastructure|off-target|archlinuxarm|fakeroot|core|snapshot|snapshot|off-target-build|Available but package builds occur off target
fastfetch|shell-tooling|core|archlinuxarm|fastfetch|extra|snapshot|snapshot|phase5-core|None
fcitx5|system-package|conditional|archlinuxarm|fcitx5|extra|snapshot|snapshot|phase5-optional|None
fcitx5-gtk|system-package|conditional|archlinuxarm|fcitx5-gtk|extra|snapshot|snapshot|phase5-optional|None
