# package|category|required_group|resolution|resolved_name|source|version|architecture|runtime_gate|functional_difference
aether|omarchy-specific|optional|source-build|aether|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and passes runtime checks
alsa-utils|system-package|phase1-owned|archlinuxarm|alsa-utils|extra|1.2.16-1|aarch64|phase1-hardware|None
asdcontrol|system-package|omit|omit|asdcontrol|omarchy-pkgs|not-installed|x86_64|not-applicable|Apple Studio Display controls are not relevant to the internal uConsole panel
avahi|system-package|conditional|archlinuxarm|avahi|extra|1:0.9rc5-1|aarch64|phase5-optional|None
bash-completion|shell-tooling|core|archlinuxarm|bash-completion|extra|2.18.0-1|any|phase5-core|None
bat|shell-tooling|core|archlinuxarm|bat|extra|0.26.1-2|aarch64|phase5-core|None
bluez|system-package|phase1-owned|archlinuxarm|bluez|extra|5.87-2|aarch64|phase1-hardware|None
bluez-tools|system-package|phase1-owned|archlinuxarm|bluez-tools|extra|0.2.0-6|aarch64|phase1-hardware|None
bluez-utils|system-package|phase1-owned|archlinuxarm|bluez-utils|extra|5.87-2|aarch64|phase1-hardware|None
bolt|system-package|omit|archlinuxarm|bolt|extra|0.9.11-3|aarch64|not-applicable|Available but omitted because the uConsole has no Thunderbolt controller
brightnessctl|desktop-core|core|archlinuxarm|brightnessctl|extra|0.5.1-3|aarch64|phase2-hyprland|None
btop|shell-tooling|core|archlinuxarm|btop|extra|1.4.7-1|aarch64|phase5-core|None
chromium|optional-application|optional|archlinuxarm|chromium|extra|151.0.7922.137-1|aarch64|phase5-optional|None
clang|development-tool|development|archlinuxarm|clang|extra|22.1.8-1|aarch64|phase5-optional|None
cliamp|omarchy-specific|optional|source-build|cliamp|omarchy-pkgs|pending-build|aarch64|phase5-optional|Not installed until its pinned ARM package builds and passes audio integration checks
cups|system-package|conditional|archlinuxarm|cups|extra|2:2.4.19-1|aarch64|phase5-optional|None
cups-browsed|system-package|conditional|archlinuxarm|cups-browsed|extra|2.1.1-1|aarch64|phase5-optional|None
